"","pert_iname","mean","n","median","sd","sRGES"
"654","BRD-A98777808",0.0371413124433436,2,0.0371413124433436,0.00863358302951107,0.0371413124433436
"10519","naringenin",0.0371634070843663,2,0.0371634070843663,0.00841459068551134,0.0371634070843663
"9337","dantron",0.0371654456860587,2,0.0371654456860587,0.0132058593675938,0.0371654456860587
"8493","BRD-K94304934",0.0371697306661875,4,0.0369559702111861,0.00234355701670963,0.0371697306661875
"10059","KI-8751",0.0371859204702729,14,0.0367056576469757,0.008611576292861,0.0371859204702729
"131","aminoindazole",0.0371957450822054,4,0.0362457003366306,0.010561994387002,0.0371957450822054
"1828","BRD-K14636731",0.0371986040459821,3,0.0323409386118204,0.0111699973062069,0.0371986040459821
"4633","BRD-K48036219",0.0372151842389336,2,0.0372151842389336,0.0137047384882358,0.0372151842389336
"10600","NPI-2358",0.0372153937047012,9,0.0373175419229409,0.00370686942557914,0.0372153937047012
"11469","SJB-shh-31",0.037226819103232,2,0.037226819103232,0.00331357118379411,0.037226819103232
"14","2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol",0.0372413459687087,2,0.0372413459687087,0.0041001466762381,0.0372413459687087
"3536","BRD-K35254025",0.0372413459687087,2,0.0372413459687087,0.0041001466762381,0.0372413459687087
"10894","PSB-11",0.0372413459687087,2,0.0372413459687087,0.0041001466762381,0.0372413459687087
"6487","BRD-K70693222",0.0372533583554583,5,0.0332987297158549,0.0102960823235082,0.0372533583554583
"10102","KU-C104123",0.0372605576188037,7,0.0326027719582632,0.0109093556420671,0.0372605576188037
"10656","ouabain",0.037263034083256,36,0.0356576793465659,0.00784889911699079,0.037263034083256
"193","ARG-CSC-81",0.0372645671178025,5,0.0347283576377619,0.00736970101578227,0.0372645671178025
"9044","bufalin",0.0372686248302527,9,0.0378503671332238,0.00561730597772431,0.0372686248302527
"974","BRD-K03651051",0.0372711894751684,1,0.0372711894751684,NA,0.0372711894751684
"4896","BRD-K51358551",0.0372711894751684,1,0.0372711894751684,NA,0.0372711894751684
"11236","SA-1938421",0.0372711894751684,1,0.0372711894751684,NA,0.0372711894751684
"6695","BRD-K72883421",0.0372757107637208,4,0.0360962357916525,0.00769376859318863,0.0372757107637208
"957","BRD-K03464662",0.0372853829008898,2,0.0372853829008898,0.0180314042542329,0.0372853829008898
"429","BRD-A14014306",0.0373049947075093,7,0.0359600117958995,0.00252248599936755,0.0373049947075093
"10467","MW-MITF9",0.0373175419229409,1,0.0373175419229409,NA,0.0373175419229409
"8124","BRD-K89563433",0.0373302965293385,4,0.0320076569355954,0.0163138610674758,0.0373302965293385
"673","BRD-K00203625",0.0373368028533069,2,0.0373368028533069,0.00514147774014863,0.0373368028533069
"11574","sulfinpyrazone",0.037344752155895,2,0.037344752155895,0.00648483859590723,0.037344752155895
"11946","xaliproden",0.0373516580457817,4,0.0354429880801649,0.00936488371335761,0.0373516580457817
"2606","BRD-K24014699",0.0373543261212799,2,0.0373543261212799,0.0130903010809629,0.0373543261212799
"4391","BRD-K45232279",0.0373543261212799,2,0.0373543261212799,0.0130903010809629,0.0373543261212799
"10686","pancuronium",0.0373567124163614,2,0.0373567124163614,0.0129353673635689,0.0373567124163614
"6340","BRD-K68866125",0.0373927873935232,8,0.0358234702285823,0.00447377491817304,0.0373927873935232
"9622","EXO-1",0.0373954079179559,3,0.0361890652061242,0.00252031042942929,0.0373954079179559
"180","AR-A014418",0.037404886798316,14,0.0372835585260455,0.00787441281846293,0.037404886798316
"167","anisomycin",0.0374090509010308,12,0.0345611357010842,0.011612246887006,0.0374090509010308
"9785","GR-235",0.0374101093503617,6,0.0379253362707789,0.00553064948810631,0.0374101093503617
"582","BRD-A75558199",0.037434472562549,2,0.037434472562549,0.00382702442797418,0.037434472562549
"1555","BRD-K11147885",0.037434472562549,2,0.037434472562549,0.00382702442797418,0.037434472562549
"445","BRD-A21812217",0.0374501283778688,2,0.0374501283778688,0.00673286215162541,0.0374501283778688
"3257","BRD-K31754360",0.0374553920639543,3,0.0401405874873361,0.00823780593226366,0.0374553920639543
"9959","iobenguane",0.037477622872815,3,0.0419302255019613,0.00802801903473593,0.037477622872815
"431","BRD-A15113563",0.0374779039923824,8,0.0385237883949887,0.0036901416072781,0.0374779039923824
"260","azlocillin",0.0374858574283884,1,0.0374858574283884,NA,0.0374858574283884
"9268","cortisol",0.0374858574283884,1,0.0374858574283884,NA,0.0374858574283884
"9366","deptropine",0.0374858574283884,1,0.0374858574283884,NA,0.0374858574283884
"9729","gabapentin",0.0374858574283884,1,0.0374858574283884,NA,0.0374858574283884
"11619","telenzepine",0.0374938685215591,2,0.0374938685215591,0.0127413993394361,0.0374938685215591
"9325","DAC-004",0.0375015143618011,2,0.0375015143618011,0.00773861635998352,0.0375015143618011
"6317","BRD-K68594214",0.0375222591048717,2,0.0375222591048717,0.00432118891912097,0.0375222591048717
"10337","mepyramine",0.037536568164804,3,0.0354664126162632,0.00573152536360301,0.037536568164804
"461","BRD-A30395175",0.0375474527151202,2,0.0375474527151202,0.012817178832699,0.0375474527151202
"4392","BRD-K45256078",0.037571318247115,2,0.037571318247115,0.0113194386786755,0.037571318247115
"6719","BRD-K73125384",0.0375794255102024,4,0.0356721315043027,0.0115437733151514,0.0375794255102024
"10434","molindone",0.0375863744601397,2,0.0375863744601397,0.00266066889110754,0.0375863744601397
"7081","BRD-K77014406",0.0376004314867938,2,0.0376004314867938,0.00798429065151994,0.0376004314867938
"3132","BRD-K30381384",0.0376021093686685,4,0.0367287181751409,0.00761870914501508,0.0376021093686685
"530","BRD-A58482795",0.03760635227215,2,0.03760635227215,0.0189558363590935,0.03760635227215
