"","pert_iname","mean","n","median","sd","sRGES"
"5758","BRD-K61991236",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"5829","BRD-K62814224",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6019","BRD-K65065275",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6060","BRD-K65437607",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6178","BRD-K66857873",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6268","BRD-K68007071",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6320","BRD-K68664718",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6332","BRD-K68796015",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6605","BRD-K71752918",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6773","BRD-K73716473",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6777","BRD-K73804157",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6830","BRD-K74329753",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"6947","BRD-K75633187",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7030","BRD-K76454674",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7050","BRD-K76688397",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7098","BRD-K77328005",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7147","BRD-K77983109",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7265","BRD-K79333016",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7310","BRD-K79944151",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7565","BRD-K82986138",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"7741","BRD-K85134515",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8164","BRD-K90089455",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8299","BRD-K91924645",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8310","BRD-K92061784",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8343","BRD-K92493271",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8484","BRD-K94217081",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8623","BRD-K95779464",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8683","BRD-K96534186",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"8930","BRD-K99567611",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
